Product Code,Cat 1,Cat 2,Sub Cat,Length cm (approx),Height cm (approx),Width cm (Approx),Depth cm (Approx),Size (all sizes are approximate),Fabric,Colour,Web product Name,Product Description,User Tags,image name 1 (same as sku),image name 2 (same as sku),Availability,Cost Price (ex VAT,Mark up %, Selling Price (ex VAT) ,Delivery & Returns,Excel Sell Code,Excel Type 3 Sell Price,
SOFA3Y0003,Living Room,,Sofas,,93,210,98,H93 W210 D98,Vinyl,Black,Barcelona Sofa,"Faux leather three seater black sofa with a solid wood frame which is FSC Certified. Fabric is 80% PVC 20% Cotton and has fire resistant foam (CMHR). Features stain resistant vinyl covering with stitched seams and foam filled fixed seat cushion with removable rebound fibre filled back cushion. We recommend to clean with a damp sponge and vacuum with a soft brush attachment. Complies to EN 12520:2015 for strength, durability and safety of seating. Comes with a one year warranty. ","3 seater,three seater,sofa,black,Hoxton,C1,CU",cara_3seater,cara_3seater2,Special, £129.60 ,75, £226.80 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF301BLSDID,£217.80,
SOFA3Y0004,Living Room,,Sofas,,93,210,98,H93 W210 D98,Vinyl,Brown,Barcelona Sofa,"Faux leather three seater brown sofa with a solid wood frame which is FSC Certified. Fabric is 80% PVC 20% Cotton and has fire resistant foam (CMHR). Features stain resistant vinyl covering with stitched seams and foam filled fixed seat cushion with removable rebound fibre filled back cushion. We recommend to clean with a damp sponge and vacuum with a soft brush attachment. Complies to EN 12520:2015 for strength, durability and safety of seating. Comes with a one year warranty. ","3 seater,three seater,sofa,brown,Hoxton,C1,CU",cara_3seater1br,cara_3seater2br,Special, £129.60 ,75, £226.80 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0301BRSDID,£217.80,
COFFEE0001,Living Room,,Coffee Tables,,47,120,60,Medium,Wood,Natural Oak,York Coffee Table,"Rectangular coffee table in wood effect with wooden legs. H47cm, W120cm, D60cm. Featuring profiled and polished edges. Complies with EN 12521:2015 for strength, durability and safety of tables. Comes with one year warranty. ","coffee table,York,C1,CU",York Coffee Table,,Stock, £30.00 ,75, £52.50 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0145SDID,£35.00,
TVUNIT0002,Living Room,,TV Units,,,,,Medium,Wood,Maple,Marseille TV Unit,Rectangular TV unit in wood effect table top with metal legs and profiled and polished edges. Complies with EN 60065:2002+A12:2011 or EN 60065:2014. Comes with one year warranty. ,"TV unit,,C1,CU",MARSEILLE tv unit,,Stock, £25.00 ,75, £43.75 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0155SDID,£35.51,
CHAIRD0001,Dining Room,,Dining Chairs,,,,,Standard,Wood/Metal,Beech/Chrome,Fiji Dining Chair,Contemporary dining chair with round wood seat and chrome legs. Has a beech effect finish and is ready assembled. Comes with one year warranty. ,"dining chair,Fiji,C1,CU",Fiji Round Chairs Beech,,Stock, £16.00 ,75, £28.00 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0147SDID,£21.44,
CHAIRD0002,Dining Room,,Dining Chairs,,,,,Standard,Wood,Natural Oak,York Wooden Dining Chair,Traditional style dining chair in solid rubberwood with a natural oak effect finish. Comes with one year warranty.,"dining chair,York,C1,CU",York Chair,,Stock, £12.50 ,75, £21.88 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0148SDID,£16.80,
TABLED0001,Dining Room,,Dining Tables,,,,,Small,Wood,Natural Oak,York Small Dining Table  - 2 person,"Traditional style, compact dining table for two in solid rubberwood with natural oak effect finish. Comes with one year warranty.","dining table,York,C1,CU",York Small,,Stock, £35.00 ,75, £61.25 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",TABLED0001,£55.78,
TABLED0002,Dining Room,,Dining Tables,,,,,Medium,Wood,Natural Oak,York Medium Dining Table - 4 person,Traditional style dining table for four people in solid rubberwood with natural oak effect finish. Comes with one year warranty. ,"dining table,York,C1,CU",York 1+4,,Stock, £40.00 ,75, £70.00 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0151SDID,£56.00,
TABLED0003,Dining Room,,Dining Tables,,,,,Large,Wood,Natural Oak,York Large Dining Table - 6 person,Traditional style dining table for six people with solid rubberwood in a natural oak effect finish. Comes with one year warranty. ,"dining table,York,C1,CU",York Large,,Stock, £82.50 ,75, £144.38 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",TABLED0003,£122.07,
TABLED0004,Dining Room,,Dining Tables,,,,,Medium,Wood/Metal,Beech/Chrome,Fiji Round Dining Table - 4 person,Contemporary round dining table for four people with wood table and chrome legs. Table diameter 90cm. Has a beech effect finish and is ready assembled. Comes with one year warranty. ,"dining table,Fiji,C1,CU",Fiji Round 1+4 Beech,,Stock, £52.50 ,75, £91.88 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0143SDID,£53.60,
BEDSID0006,Bedroom,,Bedside Tables,,59,45,46,,Wood,Maple,Marseille Bedside 1 Drawer,Fully assembled bedside table with a single drawer unit. Made from MFC and MDF. The metal drawer sides have a solid base and back panel with metal bow handle. Made in the UK. Comes with one year warranty. ,"bedside table,C1,CU",MARSEILLE bedside cabinet 11 1,MARSEILLE bedside cabinet 11 2,Stock, £30.00 ,75, £52.50 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0010SDID,£34.17,
CHEST40005,Bedroom,,Chests of Drawers,,84.5,78,46,,Wood,Maple,Marseille Chest of 4 Drawers,"Fully assembled four drawer chest with two shallow and two deep drawers. Made from MFC and MDF wood effect, laminate veneer. The metal drawer sides have a solid base and back panel with metal bow handles. Complies with BS4875 Part7:2006 Domestic and contract storage furniture; Performance Requirement Level 4 and EN14749:2016 Domestic and kitchen storage units. Made in the UK. Comes with one year warranty.","chest of drawers,Marseille,C1,CU",MARSEILLE 4 drawer chest 34 3,MARSEILLE 4 drawer chest 34 4,Stock, £78.70 ,75, £137.73 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0015SDID,£98.56,
CHEST50004,Bedroom,,Chests of Drawers,,105,78,46,,Wood,Maple,Marseille Chest of 5 Drawers,"Fully assembled five drawer chest with two shallow and three deep drawers. Made from MFC and MDF wood effect, laminate veneer. The metal drawer sides have a solid base and back panel with metal bow handles. Complies with BS4875 Part7:2006 Domestic and contract storage furniture; Performance Requirement Level 4 and EN14749:2016 Domestic and kitchen storage units. Made in the UK. Comes with one year warranty. ","chest of drawers,Marseille,C1,CU",MARSEILLE 5 drawer chest 35 1,MARSEILLE 5 drawer chest 35 2,Stock, £85.00 ,75, £148.75 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0016SDID,£106.53,
DESKWD0001,Home Office,,Desks,,72,100,50,,Wood,Maple,Marseille Desk,The Marseille is a fully assembled home office desk made from MFC and MDF. It complies with BS4875 Part7:2006 Domestic and contract storage furniture; Performance Requirement Level 4 and EN14749:2016 Domestic and kitchen storage units. Made in the UK. Comes with one year warranty. ,"desk,Marseille,C1,CU",supplier unable to photo - no stock,,Stock, £42.86 ,75, £75.01 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DESKWD0001,£75.00,
HEADBD0006,Bedroom,,Headboards,,30,92,1.5,,Wood,Maple,Marseille Headboard Single,Single headboard made from MDF. Made in the UK. Comes with one year warranty. ,"headboard,Marseille,C1,CU",MARSEILLE HEADBOARD 1,MARSEILLE HEADBOARD 2,Stock, £8.95 ,75, £15.66 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0036SDID,£11.99,
 ,Bedroom,,Headboards,,30,137.5,1.5,,Wood,Maple,Marseille Headboard Double,Double headboard made from MDF. Made in the UK. Comes with one year warranty. ,"headboard,Marseille,C1,CU",supplier unable to photo - no stock,,Stock, £12.30 ,75, £21.53 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0035SDID,£15.04,
ROBESC0002,Bedroom,,Wardrobes,,186,76,48,,Wood,Maple,Marseille Wardrobe Combi,"Fully assembled two door, three drawer combination wardrobe. Made from MFC and MDF. The metal drawer sides have a solid base and back panel with metal bow handles and concealed hinges. Made in the UK. Comes with one year warranty. ","wardrobe,Marseille,C1,CU",MARSEILLE combi wardrobe 533 1,MARSEILLE combi wardrobe 533 2,Stock, £113.00 ,75, £197.75 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0055SDID,£157.00,
ROBESD0001,Bedroom,,Wardrobes,,186,76,48,,Wood,Maple,Marseille Wardrobe Double,Fully assembled double wardrobe made from MFC and MDF. The metal drawer sides have a solid base and back panel with metal bow handles and concealed hinges. Made in the UK. Comes with one year warranty. ,"wardrobe,Marseille,C1,CU",MARSEILLE double wardrobe 530 1,MARSEILLE double wardrobe 530 2,Stock, £91.15 ,75, £159.51 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0057SDI,£122.00,
ROBESS0001,Bedroom,,Wardrobes,,186,58,48,,Wood,Maple,Marseille Wardrobe Single,Fully assembled single wardrobe made from MFC and MDF. The metal drawer sides have a solid base and back panel with metal bow handles and concealed hinges. Made in the UK. Comes with one year warranty. ,"wardrobe,Marseille,C1,CU",MARSEILLE single wardrobe 524 1,MARSEILLE single wardrobe 524 3,Stock, £71.35 ,75, £124.86 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0056SDID,£94.38,
BEDBAS0001,Bedroom,,Bed Bases,190,35.5,90,,,Wood/Fabric,White/Blue,Diana Crib 5 Base Base - Single,"Single bed base to pair with our Single Diana Mattress. Featuring polyester viscose covering, platform top and non-sprung base. The timber frame construction is from sustainable sources and meets FSC/PEFC standards. The Diana bed base adheres to UK Crib 5 flammability regulations. Castors provided for ease of movement. Made in the UK. Comes with one year warranty.  ","single,bed,C1,CU",candy blue base RT.jpg,candy blue detail.jpg,Stock, £19.50 ,75, £34.13 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",BEDBAS0001,£43.20,
BEDBAS0003,Bedroom,,Bed Frames,202,98.5,83.5,,,Wood,Pine,Torino Wooden Bed Frame Single,Solid pine single bed frame with straight spindle headboard and low foot end. Slatted base design. Comes with one year warranty. ,"single,bed,C1,CU",Torino Single,,Stock, £42.00 ,75, £73.50 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",BEDBAS0003,£65.60,
BEDBAS0004,Bedroom,,Bed Frames,201.3,92.5,81.7,,,Metal,Silver,Leanne Metal Bed Frame Single,Contemporary metal bed frame with metal bar base for extra strength with additional centre legs on side rails for durability. Comes with one year warranty. ,"single,bed,C1,CU",leanne - with matt,,Stock, £29.00 ,75, £50.75 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",BEDBAS0004,£44.64,
BEDBAS0005,Bedroom,,Bed Bases,190,35.5,90,,,Wood/Fabric,Cream,Pine King Standard Orthopaedic Bed Base - Single,Single bed base to pair with our PineKing Orthopaedic single mattress. Features a comfort fabric covering in a polyester/polypropylene mix and softwood frame construction from sustainable sources. Has castors for ease of movement. The Double base splits for ease of delivery and installation and is joined in situ with linking bars. The PineKing Orthopaedic is for domestic use and conforms to BS7177 low hazard safety regulations. Made in the UK. Comes with one year warranty. ,"mattress,double,C1,CU",turin ortho 1.jpg,,Stock, £40.00 ,75, £70.00 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",BEDBAS0005,£102.40,
BEDBAS0006,Bedroom,,Bed Bases,190,35.5,135,,,Wood/Fabric,White/Blue,Diana Bed Base - Double (contract crib 5),"Double bed base to pair with our double Diana mattress. Features a polyester viscose covering, platform top and non-sprung base. The timber frame construction is from sustainable sources and meets FSC/PEFC standards. The Diana bed base adheres to UK Crib 5 flammability regulations. This double bed base is split for ease of delivery and installation. Castors are provided for ease of movement. Made in the UK. Comes with one year warranty. ","mattress,single,C1,CU",candy blue double base RT.jpg,candy blue double detail.jpg,Stock, £29.00 ,75, £50.75 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0024SDID,£60.80,
BEDBAS0009,Bedroom,,Bed Frames,185,89,135,,,Metal,Silver,Leanne Bed Frame Metal - Double,Contemporary metal bed frame with metal bar base for extra strength and additional centre legs on side rails for durability. Comes with one year warranty. ,"double,bed,C1,CU",leanne double.jpg,,Stock, £41.00 ,75, £71.75 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",BEDBAS0009,£73.78,
BEDBAS0011,Bedroom,,Bed Bases,190,35.5,135,,,Wood/Breathable Waterproof Fabric,Blue,Neptune Bed Base - Double (contract crib 7),"Double bdd base to pair with our double Neptune mattress with a breathable waterproof covering, platform top and non-sprung base. The timber frame construction is from sustainable sources and meets FSC/PEFC standards. The Neptune bed base adheres to UK Crib 7 flammability regulations. This double bed base is split for east of delivery and installation. Castors are provided for ease of movement. Made in the UK. Comes with one year warranty. ","mattress,double,C1,CU",maestro double base RT.jpg,maestro double detail.jpg,Stock, £41.00 ,75, £71.75 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0021SDID,£67.10,
BEDBAS0012,Bedroom,,Bed Bases,190,35.5,90,,,Wood/Breathable Waterproof Fabric,Blue,Neptune Bed Base - Single (contract crib 7),"Single bed base to pair with our single Neptune mattress with a breathable waterproof covering, platform top and non-sprung base. The timber frame construction is from sustainable sources and meets FSC/PEFC standards. The Neptune bed base adheres to UK Crib 7 flammability regulations. Castors are provided for ease of movement. Made in the UK. Comes with one year warranty. ","mattress,single,C1,CU",maestro base RT.jpg,maestro detail.jpg,Stock, £30.50 ,75, £53.38 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",BEDBAS0012,£49.46,
BEDBAS0013,Bedroom,,Bed Frames,200.7,83.9,149.9,,,Wood,Pine,Torino Wooden Bed Frame - Double,Solid pine double bed frame with straight spindle headboard and low foot end. Slatted base design. Comes with one year warranty. ,"double,bed,C1,CU",Torino-,,Stock, £55.00 ,75, £96.25 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",BEDBAS0013,£85.01,
BEDBAS0014,Bedroom,,Bed Bases,200,35.5,150,,,Wood/Fabric,White/Blue,Diana Bed Base - King (contract crib 5),"King size bed base to pair with our king Diana mattress with polyester viscose covering, platform top and non-sprung base. The timber frame construction is from sustainable sources and meets FSC/PEFC standards. The Diana bed base adheres to UK Crib 5 flammability regulations. The king bed base is split for ease of delivery and installation.  Castors are provided for ease of movement. Made in the UK. Comes with one year warranty. ","king,bed,C1,CU",candy blue double base RT.jpg,candy blue double detail.jpg,Special, £44.00 ,75, £77.00 ,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",BEDBAS0014,£84.80,
BEDBAS0016,Bedroom,,Bed Bases,200,35.5,150,,,Wood/Fabric,Cream,Pine King Standard Orthopaedic Bed Base - King,King size bed base to pair with our PineKing Orthopaedic king size mattress. Features comfort fabric covering in polyester/polypropylene mix and a softwood frame construction from sustainable sources. Castors are provided for ease of movement. The king base splits for ease of delivery and installation and is joined in situ with linking bars. The PineKing Orthopaedic is for domestic use and conforms to BS7177 low hazard safety regulations. Made in the UK. Comes with one year warranty. ,"mattress,king,C1,CU",requested,,Special, £70.00 ,75, £122.50 ,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",BEDBAS0016,£115.49,
