Product Code,Cat 1,Cat 2,Cat 3,Cat 4,Cat 5,Cat 6,Cat 7,Sub Cat,Item,Range/Brand,Length cm (approx),Height cm (approx),Width cm (Approx),Depth cm (Approx),Size (all sizes are approximate),Fabric,Colour,Web product Name,descriptive and user tags (separated by |),image name 1 (same as sku),image name 2 (same as sku),image name 3 (same as sku),Availability,Supplier,Range,Cost Price (ex VAT,Mark up %, Selling Price (ex VAT) ,Delivery Timescale (Working days),Assembled/Flat Pack,Excel Sell Code,Excel Type 3 Sell Price,Warranty,
MATPRO0003,Bedroom,,,,,,,Bedding,Mattress Protectors Waterproof Terry Double,Arbry,,,,,Double,Polycotton,White,Waterproof Terry Cotton Mattress Protector - Double,Fully waterproof with a Terry Cotton top and sides with a PVC backing to protect the mattress from water damage | Machine washable,terry waterproof matt prot (2),,,Stock,Avantex,Essential, £6.25 ,75, £10.94 ,,Assembled,DFF0061SDID,£7.35,1 Year Warranty,
FITTED0019,Bedroom,,,,,,,Bedding,Single Fitted Sheet - FR,Arbry,,,,,Single,100% Polyester,White,Flame Retardant Fitted Sheet - Single,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Stock,Avantex,Essential, £4.40 ,75, £7.70 ,,Assembled,FITTED0019,£6.47,1 Year Warranty,
FLATSH0019,Bedroom,,,,,,,Bedding,Single Flat Sheet - FR,Arbry,,,,,Single,100% Polyester,White,Flame Retardant Flat Sheet - Single,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Stock,Avantex,Essential, £5.50 ,75, £9.63 ,,Assembled,FLATSH0019,£12.49,1 Year Warranty,
FITTED0028,Bedroom,,,,,,,Bedding,Double Fitted Sheet - FR,Arbry,,,,,Double,100% Polyester,White,Flame Retardant Fitted Sheet - Double,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Stock,Avantex,Essential, £5.99 ,75, £10.48 ,,Assembled,FITTED0028,£9.09,1 Year Warranty,
FLATSH0028,Bedroom,,,,,,,Bedding,Double Flat Sheet - FR,Arbry,,,,,Double,100% Polyester,White,Flame Retardant Flat Sheet - Double,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Stock,Avantex,Essential, £7.65 ,75, £13.39 ,,Assembled,FLATSH0028,£16.84,1 Year Warranty,
no buy code,Bedroom,,,,,,,Bedding,King Fitted Sheet - FR,Arbry,,,,,King,100% Polyester,White,Flame Retardant Fitted Sheet - King,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Special,Avantex,Essential, £10.45 ,75, £18.29 ,10-15 days,Assembled,no sales code,£15.68,1 Year Warranty,
no buy code,Bedroom,,,,,,,Bedding,King Flat Sheet - FR,Arbry,,,,,King,100% Polyester,White,Flame Retardant Flat Sheet - King,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Special,Avantex,Essential, £13.75 ,75, £24.06 ,10-15 days,Assembled,no sales code,£20.63,1 Year Warranty,
DUVETC0019,Bedroom,,,,,,,Bedding,Single Duvet Cover - FR,Arbry,,,,,Single,100% Polyester,White,Flame Retardant Duvet Cover - Single,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Stock,Avantex,Essential, £7.30 ,75, £12.78 ,,Assembled,DUVETC0019,£11.14,1 Year Warranty,
DUVETC0028,Bedroom,,,,,,,Bedding,Double Duvet Cover - FR,Arbry,,,,,Double,100% Polyester,White,Flame Retardant Duvet Cover - Double,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Stock,Avantex,Essential, £12.95 ,75, £22.66 ,,Assembled,DUVETC0028,£19.12,1 Year Warranty,
no buy code,Bedroom,,,,,,,Bedding,King Duvet Cover - FR,Arbry,,,,,King,100% Polyester,White,Flame Retardant Duvet Cover - King,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Special,Avantex,Essential, £20.75 ,75, £36.31 ,10-15 days,Assembled,no sales code,£31.13,1 Year Warranty,
no buy code,Bedroom,,,,,,,Bedding,Single Base Valance - FR,Arbry,,,,,Single,100% Polyester,White,Flame Retardant Base Valance - Single,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Special,Avantex,Essential, £12.65 ,75, £22.14 ,10-15 days,Assembled,no sales code,£18.98,1 Year Warranty,
no buy code,Bedroom,,,,,,,Bedding,Double Base Valance - FR,Arbry,,,,,Double,100% Polyester,White,Flame Retardant Base Valance - Double,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Special,Avantex,Essential, £15.10 ,75, £26.43 ,10-15 days,Assembled,no sales code,£22.65,1 Year Warranty,
no buy code,Bedroom,,,,,,,Bedding,King Base Valance - FR,Arbry,,,,,King,100% Polyester,White,Flame Retardant Base Valance - King,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Special,Avantex,Essential, £16.35 ,75, £28.61 ,10-15 days,Assembled,no sales code,£24.53,1 Year Warranty,
PILLOW0014,Bedroom,,,,,,,Bedding,Pillowcase - FR,Arbry,,,,,Standard,100% Polyester,White,Flame Retardant Standard Pillowcase,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Stock,Avantex,Essential, £1.42 ,75, £2.49 ,,Assembled,PILLOW0014,£1.86,1 Year Warranty,
VACUUM0002,Home accessories,Kitchen,,,,,,Small Appliances,Eco Commercial Vacuum Cleaner 230V (Henry),Numatic,,,,,Standard,Plastic/Metal mix,Red/Black,Eco Commercial Vacuum Cleaner 230V,"The Numatic NRV200 is the commercial version of the much loved Henry hoover | The NRV200 is a professional, tough and versatile vacuum cleaner | Compact with large 9 litre capacity bin | 12.5mt cable and rewind storage system | TriTex filtration system improves filtration, cleanliness and capacity | Easy to change HepaFlo bags | Full accessory kit with stainless steel tube set | Energy efficient, A rated",NU9010,,,Special,Pik-a-Pak,Essential, £86.86 ,75, £152.01 ,10-15 days,Assembled,VACUUM0002,£132.50,2 Years Warranty,
TRACKP0001,Living Room,Dining Room,Bedroom,Nursery,Kitchen,Home accessories,Dining room,Home Accessories,Curtain Track Metal - Small - 150W (SW),Unbranded,,,,,150cm wide (SW),Metal,White,Curtain Track Metal - Small - 150W (SW),Metal curtain track | Small size to fit window size up to 1.5mts wide,Alan,,,Stock,Renaissance Curtain Accessories,Essential, £7.46 ,75, £13.06 ,,Flat Pack,TRACKP0001,£11.19,1 Year Warranty,
TRACKP0002,Living Room,Dining Room,Bedroom,Nursery,Kitchen,Home accessories,Dining room,Home Accessories,Curtain Track Metal - Medium - 200W (W1/2),Unbranded,,,,,200cm wide (W1/2),Metal,White,Curtain Track Metal - Medium - 200W (W1/2),Metal curtain track | Medium size to fit window size up to 2mts wide,Alan,,,Stock,Renaissance Curtain Accessories,Essential, £8.98 ,75, £15.72 ,,Flat Pack,TRACKP0002,£13.47,1 Year Warranty,
TRACKP0003,Living Room,Dining Room,Bedroom,Nursery,Kitchen,Home accessories,Dining room,Home Accessories,Curtain Track Metal - Large - 250W (DW),Unbranded,,,,,250cm wide (DW),Metal,White,Curtain Track Metal - Large - 250W (DW),Metal curtain track | Large size to fit window size up to 2.5mts wide,Alan,,,Stock,Renaissance Curtain Accessories,Essential, £10.66 ,75, £18.66 ,,Flat Pack,TRACKP0003,£15.99,1 Year Warranty,
METALC0001,Living Room,Dining Room,Bedroom,Nursery,Kitchen,Home accessories,Dining room,Home Accessories,Extendable Metal Curtain Pole - Small - 1.2m to 2.4mt ,Unbranded,,,,,1.2mt to 2.4mt wide,Metal,Silver Chrome,Extendable Metal Curtain Pole - Small - 1.2m to 2.4mt ,Extendable metal curtain pole | Small size to fit window size 1.2mt - 2.4mts wide,Alan,,,Stock,Renaissance Curtain Accessories,Essential, £7.59 ,75, £13.28 ,,Flat Pack,METALC0001,£11.39,1 Year Warranty,
METALC0001,Living Room,Dining Room,Bedroom,Nursery,Kitchen,Home accessories,Dining room,Home Accessories,Extendable Metal Curtain Pole - Large - 1.6m to 3mt ,Unbranded,,,,,1.6mt to 3mt wide,Metal,Silver Chrome,Extendable Metal Curtain Pole - Large - 1.6m to 3mt ,Extendable metal curtain pole | Large size to fit window size 1.6mt - 3mts wide,Alan,,,Stock,Renaissance Curtain Accessories,Essential, £8.69 ,75, £15.21 ,,Flat Pack,METALC0001,£13.04,1 Year Warranty,
000000000,Living Room,Bedroom,Dining Room,Kitchen,,,,Flooring,Underlay and accessories,Unbranded,,,,,8mm,On request,On request,Underlay,8mm Carpet Foam Underlay ,Alan,,,Stock,B.I.G Floor Coverings,Essential, POA ,, POA ,,Assembled,000000000,POA,1 Year Warranty,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
