Product Code,Cat 1,Cat 2,Cat 3,Cat 4,Cat 5,Cat 6,Cat 7,Sub Cat,Item,Range/Brand,Size (all sizes are approximate),Fabric,Colour,Web product Name,descriptive and user tags (separated by |),image name 1 (same as sku),image name 2 (same as sku),image name 3 (same as sku),Availability,Supplier,Range,Cost Price (ex VAT,Mark up %, Selling Price (ex VAT) ,Delivery Timescale (Working days),Assembled/Flat Pack,Excel Sell Code,Excel Type 3 Sell Price,Warranty
CARPET0017,Living Room,Bedroom,Dining Room,,,,,Flooring,Carpets only,996 Country Heathers,Up to 4metres wide,Polypropylene/Hessian backed,Chocolate,Country Heather Supreme,Total Height 9mm | 100% Polypropylene | General domestic | Stain resistant | Cleanable with diluted bleach|,Country_Heather_Supr_996_PSH,,,Stock,B.I.G Floor Coverings,Essential,£3.90,75,£6.83,,Assembled,DFF0076BRSDID,£8.40,1 Year Warranty
CARPET0018,Living Room,Bedroom,Dining Room,,,,,Flooring,Carpets only,158 Country Heathers,Up to 4metres wide,Polypropylene/Hessian backed,Dark Grey,Country Heather Supreme,Total Height 9mm | 100% Polypropylene | General domestic | Stain resistant | Cleanable with diluted bleach|,Country_Heather_Supr_158_PSH,,,Stock,B.I.G Floor Coverings,Essential,£3.90,75,£6.83,,Assembled,DFF0076GRSDID,£8.40,1 Year Warranty
CARPET0019,Living Room,Bedroom,Dining Room,,,,,Flooring,Carpets only,879 Country Heathers,Up to 4metres wide,Polypropylene/Hessian backed,Blue,Country Heather Supreme,Total Height 9mm | 100% Polypropylene | General domestic | Stain resistant | Cleanable with diluted bleach|,Country_Heather_Supr_897_PSH,,,Stock,B.I.G Floor Coverings,Essential,£3.90,75,£6.83,,Assembled,DFF0076DBSDID,£8.40,1 Year Warranty
CARPET0042,Living Room,Bedroom,Dining Room,,,,,Flooring,Carpets only,Marathon,Up to 4metres wide,Polypropylene/Gel backed,Blue,Marathon,"Gel backed 100% Polypropylene cut pile | Stain resistant, hard wearing | No underlay required | 4m wide | Approx. 5mm thick | Complies with BS 4790:1987 / BS 5287:1988 to Low Radius Classification | Fitting should be in accordance with BS 5325:2001 code of practice.",Marathon_882_PSH.jpg,,,Stock,B.I.G Floor Coverings,Essential,£6.82,75,£11.94,,Assembled,DFF0075SDID,£12.40,1 Year Warranty
VINYLB0001,Living Room,Bedroom,Dining Room,Kitchen,,,,Flooring,Vinyl's only,Atlantic,Up to 3 metres wide,Vinyl,Black Slate,Atlantic Vinyl - Black Slate,"Vinyl | 3mt wide | 2mm Thick | Cushioned, R10 slip resistant | General domestic | Complies with EN 14041:2004",Kent 909E,Kent 909E_RSH,,Stock,B.I.G Floor Coverings,Essential,£2.99,75,£5.23,,Assembled,DFF0073BLSDID,£7.00,1 Year Warranty
VINYLW0001,Living Room,Bedroom,Dining Room,Kitchen,,,,Flooring,Vinyl's only,Atlantic,Up to 3 metres wide,Vinyl,Wood Effect,Atlantic Vinyl - Wood Effect,"Vinyl | 3mt wide | 2mm Thick | Cushioned, R10 slip resistant | General domestic | Complies with EN 14041:2004",Chalet Oak 006M,,,Stock,B.I.G Floor Coverings,Essential,£2.99,75,£5.23,,Assembled,DFF0073WDSDID,£7.00,1 Year Warranty
COOKER0002,Kitchen,,,,,,,Kitchen Appliances,Electric Cooker Double Cavity,Statesman,H900 W500 D600,Metal,White,Electric Twin Cavity cooker,"Conventional oven and separate grill | Double glazed oven door and grill door | Electric grill | 4 Solid hotplate (2 x 1KW, 2 x 1.5Kw)| Grill element power 1.5 Kw| 1 Oven shelf | 1 Deep tray |Oven capacity 54 litres |",TE50WH_B,,,Stock,Pik-a-Pak,Essential,£212.17,75,£371.30,,Assembled,DFF0094SDID,£201.56,2 Years Warranty
COOKER0003,Kitchen,,,,,,,Kitchen Appliances,Gas Cooker Single Cavity,Statesman,H850 W500 D600,Metal,White,Gas Single Cavity Cooker,"4 Gas burners (2 x semi-rapid, 1 x rapid, 1 x simmer) | Flame failure device | Gas thermostatic oven | Full ignition | Easy clean enamel | 1 Oven shelf & a full width oven tray | Grill pan & Handle | Energy rating A",STUDIO2,,,Stock,Pik-a-Pak,Essential,£129.00,75,£225.75,,Assembled,DFF0132SDID,£245.60,2 Years Warranty
FREEZE0002,Kitchen,,,,,,,Kitchen Appliances,Freezer Table Top,Igenix,H510 W440 D490,Metal,White,Counter top Freezer,A+ energy rating | 4* Freezer rating | Reversible door | Wire shelf | Mechanical temperature control | Energy consumption 153kWh/year | Noise level 41db | Total net capacity 34 litre | ,ig3751_A,,,Stock,Pik-a-Pak,Essential,£69.50,75,£121.63,,Assembled,FREEZE0002,£128.32,2 Years Warranty
WASHIN0004,Kitchen,,,,,,,Kitchen Appliances,Washing Machine 9KG,Hisense,H850 W595 D595,Metal,White,Washing Machine 9kg,9KG | 1200rpm Spin speed | 15 Wash programs | Energy rating A++ |,WFNA90121,,,Stock,Hisense,Essential,£155.00,75,£271.25,,Assembled,DFF0128SDID,£203.75,2 Years Warranty
FIREBL0001,Kitchen,,,,,,,Kitchen Essentials,Fire Blanket,Infrapower,1mt square,Glass Fibre,Red,Fire Blanket,"Strong 100% glass fibre blanket | 1mt x 1mt cloth | Wall mountable case with quick release tabs | Tested and certified BS/EN 1869 | Recommended for use on pan fires, also suitable for clothing fires",requested,,,Stock,D.A.D,Essential,£5.50,75,£9.63,,Assembled,DFF0095SDID,£7.85,1 Year Warranty
COTTTT0001,Nursery,Bedroom,,,,,,Nursery Furniture,Cot,Unbranded,L1250 W650 H880 approx.,Wood,Natural Pine or White,Natural Pine Wooden Cot,Wooden Cot in natural pine | Two position adjustable base | Teething rail | Colour will be natural pine or white | Conforms to BS:EN716 2008 and BS7177:2008+A1:2011 | Low hazard category,Ivy cot,,,Special,Poppy's Playground,Essential,£40.00,75,£70.00,10-15 days,Flat Pack,DFF0058SDID,£40.60,1 Year Warranty
COTMAT0003,Nursery,Bedroom,,,,,,Nursery Furniture,Cot Mattress,Unbranded,L1200 W600 H100 approx.,Hypoallergenic Foam,White,Cot Mattress,"Cot mattress 4"" high density hypo allergenic foam | Safety mattress, with machine washable mesh cover | Complies to BS1877-10:2011+A1:2012 and BS7177:2008+A1:2011 | Low hazard fire category",Alan,,,Special,Poppy's Playground,Essential,£11.00,75,£19.25,10-15 days,Assembled,DFF0037SDID,£15.40,1 Year Warranty
COTTTT0002,Nursery,Bedroom,,,,,,Nursery Furniture,Travel Cot,Unbranded,H78 W104 D74 approx.,Steel/Mesh,Black/Grey,Travel Cot,Travel Cot | Steel frame with mesh panels | Suitable from birth | Foldable panels | Separate padded breathable mattress | Wipe clean | Carry Bag included | Conforms to BS:EN 716 2008+A1:2013 and BS7177:2008+A1:2011 | Low fire hazard category,Alan,,,Special,Kiddicare/online,Essential,£24.99,75,£43.73,10-15 days,Assembled,DFF0054SDID,£32.70,1 Year Warranty
COTBLA0001,Nursery,Bedroom,,,,,,Nursery Essential,Cot Cellular Blanket,Arbry,Standard,Poly/Cotton,Neutral,Cot Cellular Blanket,Cot blanket | 50% polyester / 50% cotton cellular blanket | 68 pick polycotton bedding,cellular blanket,,,Special,Avantex,Essential,£4.85,75,£8.49,10-15 days,Assembled,DFF0017SDID,£6.50,1 Year Warranty
COTSHE0001,Nursery,Bedroom,,,,,,Nursery Essential,Cot fitted sheet FR,Arbry,Standard,Polyester,Neutral,Flame Retardant Fitted Cot Sheet,"Fire retardant cot fitted sheet | 100% flame retardant polyester | 76 ends of trevira, 60 picks of polyester | Conforms to BS7175:1989 ignition source 2",Alan,,,Special,Avantex,Essential,£3.55,75,£6.21,10-15 days,Assembled,DFF0020SDID,£4.77,1 Year Warranty
MATPRO0003,Bedroom,,,,,,,Bedding,Mattress Protectors Waterproof Terry Double,Arbry,Double,Polycotton,White,Waterproof Terry Cotton Mattress Protector - Double,Fully waterproof with a Terry Cotton top and sides with a PVC backing to protect the mattress from water damage | Machine washable,terry waterproof matt prot (2),,,Stock,Avantex,Essential,£6.25,75,£10.94,,Assembled,DFF0061SDID,£7.35,1 Year Warranty
BEDBAS0010,Bedroom,,,,,,,Bedroom Furniture,Bed Base Pineking Double,Pineking Ortho,L1900 W1350 D300,Wood/Fabric,Cream,Pine King Standard Orthopaedic Bed Base - Double,Bed base to pair with our PineKing Orthopedic Mattress | Comfort fabric covering polyester/polypropylene mix | Softwood frame construction from sustainable sources |Black castors for ease of movement | The King base splits for ease of delivery and installation and is joined in situ with linking bars | The PineKing Orthopedic is for domestic use and conforms to BS7177 low hazard safety regulations | Made in the UK,requested,,,Special,Highgrove,Essential,£70.00,75,£122.50,6-10 days,Assembled,BEDBAS0016,£115.49,1 Year Warranty
FITTED0019,Bedroom,,,,,,,Bedding,Single Fitted Sheet - FR,Arbry,Single,100% Polyester,White,Flame Retardant Fitted Sheet - Single,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Stock,Avantex,Essential,£4.40,75,£7.70,,Assembled,FITTED0019,£6.47,1 Year Warranty
FLATSH0019,Bedroom,,,,,,,Bedding,Single Flat Sheet - FR,Arbry,Single,100% Polyester,White,Flame Retardant Flat Sheet - Single,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Stock,Avantex,Essential,£5.50,75,£9.63,,Assembled,FLATSH0019,£12.49,1 Year Warranty
FITTED0028,Bedroom,,,,,,,Bedding,Double Fitted Sheet - FR,Arbry,Double,100% Polyester,White,Flame Retardant Fitted Sheet - Double,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Stock,Avantex,Essential,£5.99,75,£10.48,,Assembled,FITTED0028,£9.09,1 Year Warranty
FLATSH0028,Bedroom,,,,,,,Bedding,Double Flat Sheet - FR,Arbry,Double,100% Polyester,White,Flame Retardant Flat Sheet - Double,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Stock,Avantex,Essential,£7.65,75,£13.39,,Assembled,FLATSH0028,£16.84,1 Year Warranty
no buy code,Bedroom,,,,,,,Bedding,King Fitted Sheet - FR,Arbry,King,100% Polyester,White,Flame Retardant Fitted Sheet - King,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Special,Avantex,Essential,£10.45,75,£18.29,10-15 days,Assembled,no sales code,£15.68,1 Year Warranty
no buy code,Bedroom,,,,,,,Bedding,King Flat Sheet - FR,Arbry,King,100% Polyester,White,Flame Retardant Flat Sheet - King,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Special,Avantex,Essential,£13.75,75,£24.06,10-15 days,Assembled,no sales code,£20.63,1 Year Warranty
DUVETC0019,Bedroom,,,,,,,Bedding,Single Duvet Cover - FR,Arbry,Single,100% Polyester,White,Flame Retardant Duvet Cover - Single,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Stock,Avantex,Essential,£7.30,75,£12.78,,Assembled,DUVETC0019,£11.14,1 Year Warranty
DUVETC0028,Bedroom,,,,,,,Bedding,Double Duvet Cover - FR,Arbry,Double,100% Polyester,White,Flame Retardant Duvet Cover - Double,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Stock,Avantex,Essential,£12.95,75,£22.66,,Assembled,DUVETC0028,£19.12,1 Year Warranty
no buy code,Bedroom,,,,,,,Bedding,King Duvet Cover - FR,Arbry,King,100% Polyester,White,Flame Retardant Duvet Cover - King,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Special,Avantex,Essential,£20.75,75,£36.31,10-15 days,Assembled,no sales code,£31.13,1 Year Warranty
no buy code,Bedroom,,,,,,,Bedding,Single Base Valance - FR,Arbry,Single,100% Polyester,White,Flame Retardant Base Valance - Single,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Special,Avantex,Essential,£12.65,75,£22.14,10-15 days,Assembled,no sales code,£18.98,1 Year Warranty
no buy code,Bedroom,,,,,,,Bedding,Double Base Valance - FR,Arbry,Double,100% Polyester,White,Flame Retardant Base Valance - Double,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Special,Avantex,Essential,£15.10,75,£26.43,10-15 days,Assembled,no sales code,£22.65,1 Year Warranty
no buy code,Bedroom,,,,,,,Bedding,King Base Valance - FR,Arbry,King,100% Polyester,White,Flame Retardant Base Valance - King,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Special,Avantex,Essential,£16.35,75,£28.61,10-15 days,Assembled,no sales code,£24.53,1 Year Warranty
PILLOW0014,Bedroom,,,,,,,Bedding,Pillowcase - FR,Arbry,Standard,100% Polyester,White,Flame Retardant Standard Pillowcase,Manufactured to ensure the fabric retains a soft handle | Flame retardant to BS7175 Source 7 | Machine washable,Alan,,,Stock,Avantex,Essential,£1.42,75,£2.49,,Assembled,PILLOW0014,£1.86,1 Year Warranty
VACUUM0002,Home accessories,Kitchen,,,,,,Small Appliances,Eco Commercial Vacuum Cleaner 230V (Henry),Numatic,Standard,Plastic/Metal mix,Red/Black,Eco Commercial Vacuum Cleaner 230V,"The Numatic NRV200 is the commercial version of the much loved Henry hoover | The NRV200 is a professional, tough and versatile vacuum cleaner | Compact with large 9 litre capacity bin | 12.5mt cable and rewind storage system | TriTex filtration system improves filtration, cleanliness and capacity | Easy to change HepaFlo bags | Full accessory kit with stainless steel tube set | Energy efficient, A rated",NU9010,,,Special,Pik-a-Pak,Essential,£86.86,75,£152.01,10-15 days,Assembled,VACUUM0002,£132.50,2 Years Warranty
